,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
88,17.575570,4.538382,0.137985,0.295257,4.322616,-6.013370,3.406914,4.199181,16.023612
89,17.775292,4.736540,0.193859,0.246868,4.476073,-5.824228,2.701560,4.749027,16.023612
90,17.975015,4.930108,0.239779,0.202868,4.591415,-5.621469,1.963849,5.248758,16.023612
91,18.174737,5.119009,0.277135,0.164848,4.671514,-5.407390,1.208947,5.701428,16.023612
92,18.374459,5.303116,0.307354,0.133008,4.718919,-5.183827,0.450561,6.122029,16.023612
93,18.574182,5.481918,0.331614,0.106135,4.735960,-4.952279,-0.304534,6.532244,16.023612
94,18.773904,5.654468,0.350655,0.081766,4.724851,-4.714004,-1.055470,6.936739,16.023612
95,18.973627,5.819972,0.364736,0.057934,4.687734,-4.470063,-1.796403,7.310782,16.023612
96,19.173349,5.978411,0.374027,0.034917,4.626620,-4.221348,-2.519911,7.648259,16.023612
97,19.373071,6.129919,0.378829,0.013306,4.543351,-3.968616,-3.231412,7.980684,16.023612
98,19.572794,6.274051,0.379345,-0.008403,4.439655,-3.712516,-3.934351,8.318380,16.023612
99,19.772516,6.410333,0.375383,-0.032219,4.317195,-3.453600,-4.603306,8.610713,16.023612
100,19.972238,6.539205,0.366603,-0.057105,4.177523,-3.192336,-5.210328,8.818882,16.023612
101,20.171961,6.661565,0.353064,-0.079792,4.022018,-2.929132,-5.770758,8.983546,16.023612
102,20.371683,6.777608,0.335317,-0.099160,3.851923,-2.664339,-6.313816,9.155657,16.023612
103,20.571406,6.886882,0.313889,-0.117081,3.668439,-2.398269,-6.847691,9.346211,16.023612
104,20.771128,6.988911,0.288867,-0.136546,3.472768,-2.131203,-7.340772,9.511658,16.023612
105,20.970850,7.083782,0.259795,-0.158171,3.266077,-1.863388,-7.742244,9.590647,16.023612
106,21.170573,7.172133,0.226371,-0.177642,3.049458,-1.595052,-8.061546,9.602416,16.023612
107,21.370295,7.254293,0.189363,-0.189554,2.823919,-1.326404,-8.353918,9.616920,16.023612
108,21.570018,7.329952,0.150573,-0.191829,2.590449,-1.057636,-8.653286,9.672639,16.023612
109,21.769740,7.398574,0.112043,-0.185977,2.350065,-0.788936,-8.962520,9.770559,16.023612
110,21.969462,7.459762,0.075201,-0.177032,2.103808,-0.520476,-9.250513,9.875220,16.023612
111,22.169185,7.513461,0.040123,-0.170680,1.852707,-0.252418,-9.480231,9.947247,16.023612
112,22.368907,7.559857,0.005964,-0.168644,1.597764,0.015084,-9.642519,9.978211,16.023612
113,22.568629,7.599131,-0.028215,-0.171096,1.339943,0.281881,-9.740793,9.972652,16.023612
114,22.768352,7.631399,-0.063314,-0.176403,1.080185,0.547822,-9.794658,9.951166,16.023612
115,22.968074,7.656686,-0.099522,-0.180935,0.819417,0.812757,-9.820964,9.930836,16.023612
116,23.167797,7.674987,-0.136375,-0.182370,0.558558,1.076534,-9.834647,9.926433,16.023612
117,23.367519,7.686318,-0.172947,-0.178695,0.298519,1.339000,-9.820466,9.922167,16.023612
118,23.567241,7.690773,-0.208150,-0.170821,0.040189,1.600005,-9.735743,9.874441,16.023612
