i_segment	zeta	trajectory__rho	trajectory__theta	trajectory__y	trajectory__x	theta	banking	elevation	torsion	width_R	curvature	upsilon	width_L	slope	Y	X	lagrange_target	inequality_penalties	penalties	control_penalties	a__x__ctrl	Omega__ctrl	a__x__ctrl_cell	Omega__ctrl_cell	n	xi	v__x	v__y	Omega	a__x	lambda1__xo	lambda2__xo	lambda3__xo	lambda4__xo	lambda5__xo	lambda6__xo	penalty_scale	penalty_scale_cell	time	curv_ss	curv_ss_cell	curv_trans	curv_trans_cell	ay	ay_cell	curv_trans_2d	curv_trans_2d_cell	ax_2d	ax_2d_cell	ay_2d	ay_2d_cell	Xi	Xi_cell	Omega__bound__min	Omega__bound__min_cell	Omega__bound__max	Omega__bound__max_cell	ax__bound__min	ax__bound__min_cell	ax__bound__max	ax__bound__max_cell	GGVDiagram__penalty	GGVDiagram__penalty_cell	ax_max_wheeling_func	ax_max_wheeling_func_cell	ax_max_adherence_func	ax_max_adherence_func_cell	ax_min_stoppie_func	ax_min_stoppie_func_cell	ax_min_adherence_func	ax_min_adherence_func_cell	ax_max_engine_func	ax_max_engine_func_cell	ax_max_wheeling_pcell	ax_max_adherence_pcell	ax_max_power_pcell	ax_min_stoppie_pcell	ax_min_adherence_pcell	ay_max_adherence_pcell	ay_min_adherence_pcell	racetrack__right_border_pcell	racetrack__left_border_pcell	Omega__ctrlControl_pcell	a__x__ctrlControl_pcell
0	3703.31	-0.01892448	-4.81503051399	378.585359084	-195.186404949	-4.81503360852	0	0	0	5.63036928651	-0.0189247684915	0	5.88947814569	0	378.499061441	-195.064709769	0.0339268800662	0.000398757183856	0	1.9438960134e-05	2.04804420891	-0.463809866095	2.08035564881	-0.462374049359	-4.36149988787	-0.0116912485977	27.195495978	0	-0.473138302713	1.95681581588	-0.00713694836236	1.44305600765	-0.0263336470662	-0.000891525229296	-0.168828999383	-0.000416179288951	0.0337380715034	0.0336937215966	83.7484337812	-0.0173976714047	-0.0173293603505	-0.0173976714047	-0.0173293603505	-12.8672308085	-12.8482947869	-0.0173976714047	-0.0173293603505	1.95681581588	1.98795053714	-12.8672308085	-12.8482947869	-0.0116912485977	-0.0101813438764	-1	-1	1	1	-20	-20	20	20	0	0	17.0025133057	16.9863006528	2.12973764245	2.15984133061	-18.1720264236	-18.1555116279	-4.90255621088	-4.95048713693	20.8833039384	20.8559787508	0.000129964328367	0.00726691445587	0.000103447576537	9.69292776912e-05	0.000278830312702	7.35371427474e-05	0.0019942972184	0.00180662053183	8.42213893132e-05	0.000504655035922	7.22761908128e-05
0	3704.31	-0.01891264	-4.83395056999	379.579067366	-195.074538869	-4.8339553827	0	0	0	5.5756026315	-0.0189146393229	0	5.96373076013	0	379.493648385	-194.952203538	0.0338576372194	0.000407443238941	0	1.9306866437e-05	2.11384699493	-0.460881861762	2.14733834105	-0.459389674165	-4.37084055866	-0.00867143915513	27.26247743	0	-0.470583542432	2.0190852584	-0.00719855348454	1.44972983011	-0.0267533898769	-0.000765233492509	-0.174876891883	-0.000430040406489	0.0336495594894	0.0336068734776	83.7821275028	-0.0172612171304	-0.0171908193496	-0.0172612171304	-0.0171908193496	-12.8292732045	-12.8092803889	-0.0172612171304	-0.0171908193496	2.0190852584	2.05134546353	-12.8292732045	-12.8092803889	-0.00867143915513	-0.00710798255517	-1	-1	1	1	-20	-20	20	20	0	0	16.9700243836	16.9529323515	2.18982582117	2.22109554673	-18.1389304516	-18.1215067227	-4.9980775082	-5.04749574204	20.8287166658	20.8007233612	0.000130802730394	0.00732499305802	0.000104098808904	9.67887439115e-05	0.000272615816075	7.36448326386e-05	0.00191822681016	0.00211901172411	8.3624208743e-05	0.000497463571398	7.70280262776e-05
0	3705.31	-0.0188817	-4.85284939599	380.570482623	-194.943901873	-4.8528683127	0	0	0	5.51566801569	-0.0188828604214	0	6.00928298024	0	380.485199545	-194.82239887	0.0337929897613	0.00041924498607	0	1.91812165138e-05	2.18205439566	-0.457839102209	2.21677045026	-0.456288530254	-4.3773611185	-0.0055445259552	27.3314167374	0	-0.467930229793	2.08360566867	-0.00720711436956	1.45640523069	-0.0271679977366	-0.00061966539716	-0.181196055437	-0.000444504410079	0.0335643808739	0.0335231592766	83.8157343762	-0.0171205991365	-0.0170480432622	-0.0171205991365	-0.0170480432622	-12.7891961145	-12.768086075	-0.0171205991365	-0.0170480432622	2.08360566867	2.11703885163	-12.7891961145	-12.768086075	-0.0055445259552	-0.00393570152579	-1	-1	1	1	-20	-20	20	20	0	0	16.9357728617	16.9177535401	2.25224235856	2.28472346449	-18.104012604	-18.0856301756	-5.09655657834	-5.14749330425	20.7727963935	20.7441158974	0.000131688328302	0.00738191718051	0.000104778715587	9.66465850317e-05	0.000266480785467	7.37588825306e-05	0.0018439608298	0.00252347062707	8.34280104051e-05	0.000490062401233	8.21156669353e-05
0	3706.31	-0.0188342	-4.87170734599	381.559254981	-194.794571408	-4.87172959504	0	0	0	5.46471232691	-0.0188335835141	0	5.99859523861	0	381.474493002	-194.672628277	0.033731458794	0.000430332846871	0	1.90617284845e-05	2.25276549732	-0.454676734974	2.28876054437	-0.453064939695	-4.38097182017	-0.00232687709638	27.402386568	0	-0.465174016866	2.15047203459	-0.0071355323689	1.46302166105	-0.0275769616564	-0.000454410239458	-0.187793178208	-0.000459575365903	0.0334821341957	0.0334409821112	83.8492575355	-0.0169756753015	-0.0169008884984	-0.0169756753015	-0.0169008884984	-12.7468782316	-12.7245858978	-0.0169756753015	-0.0169008884984	2.15047203459	2.18512783183	-12.7468782316	-12.7245858978	-0.00232687709638	-0.000675444031961	-1	-1	1	1	-20	-20	20	20	0	0	16.899662692	16.8806647382	2.31707815182	2.35082006889	-18.0671731114	-18.0477786053	-5.19805524364	-5.25054404429	20.7155051541	20.6861192045	0.000132624588018	0.00743767148677	0.000105489024205	9.6502846825e-05	0.000260427317453	7.38797004848e-05	0.00177153500451	0.00290671991975	8.35774040116e-05	0.00048244577381	8.75652510209e-05
0	3707.31	-0.01878752	-4.89051787799	382.545039692	-194.626645774	-4.89054831107	0	0	0	5.43629972119	-0.0187879497497	0	5.97077167937	0	382.459972294	-194.504913957	0.0336719773147	0.00043413398337	0	1.89484560318e-05	2.32608897397	-0.451389120738	2.36341740357	-0.449713301781	-4.38159159712	0.000975989032458	27.4754593888	0	-0.462310338685	2.21978362907	-0.00697570101896	1.4695021451	-0.0279798547157	-0.000269641712446	-0.19467182042	-0.0004752619718	0.0334000310722	0.0333591589605	83.8826985176	-0.0168263005959	-0.0167492095004	-0.0168263005959	-0.0167492095004	-12.7021889356	-12.6786453711	-0.0168263005959	-0.0167492095004	2.21978362907	2.25571293456	-12.7021889356	-12.6786453711	0.000975989032458	0.00267129512819	-1	-1	1	1	-20	-20	20	20	0	0	16.8615909568	16.8415603113	2.38443228484	2.41948703641	-18.0283049754	-18.0078421624	-5.30264003303	-5.35671431055	20.6568066096	20.6266975313	0.00013361529769	0.00749214980067	0.00010623157795	9.63575893345e-05	0.000254457307215	7.4007726774e-05	0.00170097717833	0.00307249889678	8.36413340274e-05	0.000474608857515	9.34047442128e-05
0	3708.31	-0.018739	-4.90928318599	383.527495721	-194.440230092	-4.9093101654	0	0	0	5.43318048873	-0.0187415505533	0	5.9857948292	0	383.443351896	-194.318247416	0.0336166664273	0.000430372870811	0	1.88434604291e-05	2.40212011502	-0.447971751866	2.44082282647	-0.446230201952	-4.37913984975	0.00436660122392	27.5507080751	0	-0.459334468172	2.29164224005	-0.00677349062299	1.47578674169	-0.0283764209921	-6.48949740641e-05	-0.20183345775	-0.000491550252776	0.0333184921125	0.0332797245637	83.9160576766	-0.0166723289623	-0.0165928632039	-0.0166723289623	-0.0165928632039	-12.6549898415	-12.6301279364	-0.0166723289623	-0.0165928632039	2.29164224005	2.32889238368	-12.6549898415	-12.6301279364	0.00436660122392	0.00610019954789	-1	-1	1	1	-20	-20	20	20	0	0	16.8214493009	16.8003339871	2.45440906777	2.49082235235	-17.9872954915	-17.9657104172	-5.41037707605	-5.46605718951	20.5966656002	20.5658135209	0.00013466449758	0.0075452841458	0.000107008330414	9.62108857837e-05	0.000248573125229	7.41434169759e-05	0.00163231747178	0.00301050358703	8.32786965312e-05	0.00046655261217	9.96618224782e-05
0	3709.31	-0.01866552	-4.92798723799	384.506286768	-194.235440121	-4.92802567095	0	0	0	5.43897077139	-0.0186666859832	0	6.06212303268	0	384.422544395	-194.11352484	0.0335668296827	0.000425688434386	0	1.87483743889e-05	2.48093941857	-0.444421132612	2.52105601066	-0.442612063273	-4.37353886642	0.00783379787187	27.6282129722	0	-0.456241820503	2.36614252732	-0.00658587896942	1.48186307254	-0.0287664170886	0.000162210933017	-0.209278685619	-0.000508411384929	0.0332411583685	0.0332038919084	83.9493374012	-0.0165136203692	-0.0164317126395	-0.0165136203692	-0.0164317126395	-12.6051461837	-12.5788997144	-0.0165136203692	-0.0164317126395	2.36614252732	2.40475799533	-12.6051461837	-12.5788997144	0.00783379787187	0.00959588932377	-1	-1	1	1	-20	-20	20	20	0	0	16.7791335265	16.7568829194	2.5271003515	2.5649135594	-17.9440364965	-17.9212766969	-5.52130669672	-5.57860293824	20.5350425917	20.5034261716	0.000135776433261	0.00759712576573	0.000107821343933	9.6062821244e-05	0.000242777885846	7.42872296095e-05	0.00156559172746	0.0029183825243	8.26121727136e-05	0.000458278190409	0.000106365690513
0	3710.31	-0.01857414	-4.94660705999	385.481085578	-194.012419074	-4.94664857429	0	0	0	5.43554034793	-0.0185734123164	0	6.15522060072	0	385.397582259	-193.889787184	0.0335204430205	0.00042602507188	0	1.86629031835e-05	2.56263891267	-0.440732514913	2.60422181468	-0.438852966553	-4.36472335589	0.0113579807757	27.7080602967	0	-0.453027920396	2.44337346333	-0.00641971141934	1.48774829358	-0.0291493979222	0.000415546790547	-0.217006930716	-0.000525835041775	0.0331668216145	0.033129509917	83.9825412931	-0.0163500409464	-0.0162656241073	-0.0163500409464	-0.0162656241073	-12.5525249344	-12.5248224743	-0.0163500409464	-0.0162656241073	2.44337346333	2.48340085576	-12.5525249344	-12.5248224743	0.0113579807757	0.0131458609197	-1	-1	1	1	-20	-20	20	20	0	0	16.7345421321	16.7111019759	2.60258953327	2.64184929544	-17.8984228011	-17.8744319777	-5.63544929835	-5.69437506355	20.471895132	20.4394947902	0.000136955691591	0.00764767855348	0.000108672810712	9.59134944359e-05	0.000237074603236	7.44396468105e-05	0.00150082898348	0.00297579107687	8.20285998484e-05	0.00044978207561	0.000113549625652
0	3711.31	-0.01848392	-4.96513565799	386.451574189	-193.771331439	-4.96519021404	0	0	0	5.40749364913	-0.0184844964195	0	6.2208096147	0	386.367738956	-193.64837277	0.0334763294495	0.000434911669366	0	1.85873549777e-05	2.64732241678	-0.436900137019	2.69042301889	-0.434947307485	-4.35263848654	0.0149337410637	27.79033415	0	-0.449688102232	2.5234282482	-0.00623844108153	1.49344545185	-0.0295246954889	0.00069898592025	-0.225016427408	-0.000543822862665	0.0330923953642	0.0330552777637	84.015670803	-0.016181457186	-0.016094465134	-0.016181457186	-0.016094465134	-12.4969826243	-12.4677487338	-0.016181457186	-0.016094465134	2.5234282482	2.56491520557	-12.4969826243	-12.4677487338	0.0149337410637	0.0167489832801	-1	-1	1	1	-20	-20	20	20	0	0	16.6875663585	16.6628798534	2.68097050746	2.72172668839	-17.8503415509	-17.8250607316	-5.75283136333	-5.81339985663	20.4071842872	20.3739815696	0.000138207316512	0.00769678940421	0.000109565073564	9.57630187439e-05	0.000231465777171	7.46011895299e-05	0.00143804608728	0.00329089579061	8.17685901614e-05	0.000441062318131	0.000121248944554
0	3712.31	-0.01839146	-4.98357597199	387.41744105	-193.512347138	-4.98363059094	0	0	0	5.3565644803	-0.0183945281877	0	6.24473782861	0	387.333769784	-193.389868093	0.0334369660754	0.000453506852833	0	1.8524327132e-05	2.73507489758	-0.432919906346	2.77972677627	-0.430892505207	-4.33722983263	0.0185642254966	27.8751181346	0	-0.446217578733	2.60640216294	-0.0059748960421	1.49890942081	-0.0298914733623	0.00101508178676	-0.233304999915	-0.000562354613502	0.0330183570648	0.0329835967965	84.0487260808	-0.0160077376741	-0.0159181099886	-0.0160077376741	-0.0159181099886	-12.4383677209	-12.4075304573	-0.0160077376741	-0.0159181099886	2.60640216294	2.64939144455	-12.4383677209	-12.4075304573	0.0185642254966	0.0203999726932	-1	-1	1	1	-20	-20	20	20	0	0	16.6380923634	16.6121064651	2.76234369337	2.80463847827	-17.7996745501	-17.7730488177	-5.87347893684	-5.93568806463	20.3408733805	20.3068473837	0.000139536719396	0.00774431802545	0.000110500623395	9.56115177734e-05	0.000225954098718	7.47723944968e-05	0.0013772581409	0.00389971552531	8.17992614619e-05	0.000432124453184	0.00012949795708
0	3713.31	-0.01826832	-5.00190763799	388.378382678	-193.235646606	-5.00196711229	0	0	0	5.29739724903	-0.0182693460774	0	6.24766557981	0	388.294991447	-193.113198488	0.0334034683362	0.000479268048008	0	1.84756998209e-05	2.82596349557	-0.428789073967	2.87220021487	-0.426685642726	-4.31844555924	0.0222357198899	27.9625045938	0	-0.442611841361	2.69238072615	-0.00553062600252	1.50401883591	-0.0302488326972	0.00136381974957	-0.241868653808	-0.000581396716419	0.032949016037	0.0329155093505	84.0817096775	-0.0158287624014	-0.0157364445389	-0.0158287624014	-0.0157364445389	-12.3765356473	-12.3440250339	-0.0158287624014	-0.0157364445389	2.69238072615	2.73691164848	-12.3765356473	-12.3440250339	0.0222357198899	0.0240810818327	-1	-1	1	1	-20	-20	20	20	0	0	16.5860138126	16.5586780367	2.84679438981	2.89066529908	-17.7463117095	-17.7182889135	-5.99738780999	-6.06122448648	20.2729208605	20.2380495815	0.000140949628773	0.00779023847907	0.00011148209982	9.54591207422e-05	0.000220542707077	7.49537984504e-05	0.00131848196135	0.004726491367	8.19547366586e-05	0.000422973825503	0.000138332992636
