,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
142,28.360579,5.737349,-0.255745,0.171551,-2.973577,5.817122,2.395924,1.773973,16.632638
143,28.560301,5.629311,-0.218959,0.181649,-2.885213,5.882548,2.668819,1.734217,16.632638
144,28.760023,5.523075,-0.180015,0.193642,-2.785213,5.947529,2.814131,1.843277,16.632638
145,28.959746,5.419020,-0.138564,0.207016,-2.678014,6.017745,2.889511,2.031846,16.632638
146,29.159468,5.317484,-0.094377,0.221671,-2.566122,6.096425,3.013185,2.129301,16.632638
147,29.359191,5.218852,-0.047190,0.238020,-2.447568,6.180203,3.163279,2.157362,16.632638
148,29.558913,5.123558,0.003287,0.255596,-2.321144,6.266424,3.327246,2.134527,16.632638
149,29.758635,5.032192,0.057032,0.272396,-2.186255,6.352959,3.518455,2.043636,16.632638
150,29.958358,4.945544,0.113517,0.287136,-2.042053,6.436717,3.711567,1.925659,16.632638
151,30.158080,4.864439,0.172087,0.299705,-1.888895,6.516179,3.883782,1.823319,16.632638
152,30.357802,4.789639,0.232024,0.309834,-1.728267,6.591589,4.050078,1.742385,16.632638
153,30.557525,4.722017,0.292210,0.314865,-1.561780,6.663213,4.264579,1.657912,16.632638
154,30.757247,4.662726,0.350252,0.308855,-1.390489,6.729805,4.561828,1.538225,16.632638
155,30.956970,4.612634,0.402865,0.287206,-1.215086,6.788950,4.932086,1.360671,16.632638
156,31.156692,4.571829,0.447197,0.248817,-1.036304,6.838273,5.333205,1.142203,16.632638
157,31.356414,4.539727,0.481437,0.194732,-0.855284,6.877041,5.633638,1.128857,16.632638
158,31.556137,4.515256,0.504878,0.128328,-0.675122,6.913142,5.786813,1.311222,16.632638
159,31.755859,4.497286,0.517538,0.053880,-0.497810,6.953319,5.850153,1.264489,16.632638
160,31.955582,4.484992,0.519521,-0.025015,-0.322441,6.991224,5.788475,0.824337,16.632638
161,32.155304,4.477904,0.510779,-0.103934,-0.148035,7.016061,5.536943,0.192203,16.632638
162,32.355026,4.475982,0.491044,-0.176565,0.025215,7.022075,5.152839,-0.367773,16.632638
163,32.554749,4.479673,0.460206,-0.237760,0.196632,7.009841,4.781308,-0.621268,16.632638
164,32.754471,4.489680,0.418724,-0.286411,0.366549,6.987762,4.449562,-0.759618,16.632638
165,32.954193,4.506687,0.367551,-0.323872,0.534519,6.959087,4.152104,-0.847238,16.632638
166,33.153916,4.531238,0.307823,-0.351854,0.699707,6.925380,3.871587,-0.906907,16.632638
167,33.353638,4.563740,0.240725,-0.370763,0.860962,6.887607,3.590670,-0.946816,16.632638
168,33.553361,4.604517,0.167834,-0.376004,1.016903,6.846487,3.337556,-0.979088,16.632638
169,33.753083,4.653294,0.092874,-0.362513,1.166055,6.802733,3.140672,-1.006373,16.632638
170,33.952805,4.708848,0.020931,-0.334250,1.307148,6.757522,2.962358,-1.046807,16.632638
171,34.152528,4.769879,-0.044877,-0.301344,1.438827,6.710990,2.754345,-1.103374,16.632638
172,34.352250,4.835675,-0.104391,-0.272465,1.559704,6.662568,2.503922,-1.164356,16.632638
173,34.551973,4.905883,-0.159035,-0.250450,1.668613,6.611924,2.231655,-1.218203,16.632638
174,34.751695,4.979882,-0.209902,-0.231799,1.764807,6.559414,1.981077,-1.208213,16.632638
175,34.951417,5.056666,-0.256875,-0.211958,1.848994,6.508070,1.794821,-1.043010,16.632638
176,35.151140,5.135455,-0.299418,-0.190436,1.923954,6.464509,1.660982,-0.746055,16.632638
177,35.350862,5.215827,-0.337340,-0.168470,1.992133,6.433886,1.524745,-0.437314,16.632638
178,35.550584,5.297381,-0.370553,-0.146222,2.053605,6.416255,1.298422,-0.281671,16.632638
179,35.750307,5.379757,-0.399046,-0.124181,2.105044,6.405096,1.007859,-0.224133,16.632638
180,35.950029,5.462701,-0.423064,-0.103688,2.144388,6.396346,0.698880,-0.186899,16.632638
181,36.149752,5.545905,-0.443074,-0.085582,2.171336,6.389140,0.352355,-0.213858,16.632638
182,36.349474,5.628817,-0.459513,-0.069390,2.184749,6.380999,-0.033145,-0.309781,16.632638
183,36.549196,5.710922,-0.472722,-0.055008,2.183503,6.369354,-0.407806,-0.390924,16.632638
184,36.748919,5.791911,-0.483184,-0.043308,2.168324,6.354803,-0.674376,-0.292514,16.632638
185,36.948641,5.871555,-0.491550,-0.034996,2.143411,6.343997,-0.802982,0.037858,16.632638
186,37.148364,5.949561,-0.498498,-0.029507,2.113986,6.345384,-0.912312,0.396798,16.632638
187,37.348086,6.025428,-0.504370,-0.024577,2.080987,6.359737,-1.051625,0.693929,16.632638
188,37.547808,6.098832,-0.509060,-0.018744,2.043556,6.384436,-1.204271,0.942748,16.632638
189,37.747531,6.169840,-0.512438,-0.012713,2.001273,6.417537,-1.376723,1.119796,16.632638
190,37.947253,6.238559,-0.514603,-0.007585,1.953428,6.456453,-1.571231,1.216291,16.632638
191,38.146975,6.304961,-0.515819,-0.003948,1.899267,6.498379,-1.872360,1.061952,16.632638
192,38.346698,6.368817,-0.516411,-0.001697,1.835237,6.534695,-2.185866,0.843732,16.632638
193,38.546420,6.429712,-0.516590,0.000066,1.761214,6.563267,-2.305554,0.990753,16.632638
194,38.746143,6.487426,-0.516377,0.001920,1.683969,6.596461,-2.402180,1.136922,16.632638
195,38.945865,6.541939,-0.515742,0.004035,1.604323,6.634157,-2.459565,1.325948,16.632638
196,39.145587,6.593214,-0.514577,0.006988,1.523687,6.677628,-2.577875,1.324098,16.632638
197,39.345310,6.641185,-0.512626,0.011580,1.440241,6.720489,-2.760566,1.099220,16.632638
198,39.545032,6.685777,-0.509488,0.018275,1.352072,6.755597,-2.912991,0.868348,16.632638
199,39.744755,6.726986,-0.504745,0.026811,1.260163,6.782994,-2.991519,0.756261,16.632638
200,39.944477,6.764857,-0.498069,0.036904,1.166804,6.806595,-3.000641,0.771437,16.632638
201,40.144199,6.799472,-0.489151,0.048476,1.074102,6.830428,-2.970607,0.844807,16.632638
202,40.343922,6.830934,-0.477702,0.061798,0.983245,6.856267,-2.945916,0.860237,16.632638
203,40.543644,6.859294,-0.463312,0.078171,0.894250,6.882254,-2.937272,0.753861,16.632638
