,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,laptime
82,16.377236,3.672165,-0.301214,0.387837,2.863219,-8.091393,6.771803,4.412226,15.528496
83,16.576958,3.812280,-0.230764,0.441948,3.177372,-7.886704,5.770734,4.169087,15.528496
84,16.776680,3.980075,-0.144290,0.462036,3.468761,-7.676190,5.164753,3.976724,15.528496
85,16.976403,4.168763,-0.050080,0.447961,3.739165,-7.467985,4.813150,3.993871,15.528496
86,17.176125,4.367303,0.041368,0.409345,3.986547,-7.262712,4.486789,4.262607,15.528496
87,17.375847,4.567107,0.123121,0.358938,4.205415,-7.054780,3.864178,4.911240,15.528496
88,17.575570,4.763972,0.192929,0.306129,4.382575,-6.829616,3.202798,5.537460,15.528496
89,17.775292,4.956319,0.251076,0.255578,4.520957,-6.590359,2.499952,6.112249,15.528496
90,17.975015,5.143840,0.298724,0.209626,4.623488,-6.339677,1.764726,6.621285,15.528496
91,18.174737,5.326747,0.337377,0.169796,4.692782,-6.079686,1.014310,7.071365,15.528496
92,18.374459,5.505062,0.368516,0.136258,4.731166,-5.812084,0.262900,7.484940,15.528496
93,18.574182,5.678312,0.393345,0.107804,4.740784,-5.538271,-0.483575,7.892051,15.528496
94,18.773904,5.845513,0.412620,0.081991,4.723698,-5.259427,-1.225105,8.297411,15.528496
95,18.973627,6.005844,0.426632,0.056861,4.681931,-4.976548,-1.954889,8.665539,15.528496
96,19.173349,6.159343,0.435593,0.032672,4.617395,-4.690473,-2.665050,8.988369,15.528496
97,19.373071,6.306201,0.439839,0.009996,4.531839,-4.401921,-3.363434,9.309099,15.528496
98,19.572794,6.445941,0.439600,-0.012669,4.426912,-4.111510,-4.054899,9.641252,15.528496
99,19.772516,6.578045,0.434721,-0.037328,4.304209,-3.819763,-4.709953,9.917561,15.528496
100,19.972238,6.703009,0.424888,-0.062966,4.165220,-3.527100,-5.296640,10.089756,15.528496
101,20.171961,6.821846,0.410160,-0.086343,4.011258,-3.233812,-5.834163,10.213170,15.528496
102,20.371683,6.934778,0.391084,-0.106349,3.843496,-2.940130,-6.357606,10.355099,15.528496
103,20.571406,7.041297,0.368205,-0.124848,3.663066,-2.646251,-6.877643,10.530433,15.528496
104,20.771128,7.140855,0.341652,-0.144822,3.471111,-2.352346,-7.358373,10.682428,15.528496
105,20.970850,7.233533,0.310985,-0.166893,3.268743,-2.058561,-7.739317,10.728274,15.528496
106,21.170573,7.320070,0.275867,-0.186766,3.056993,-1.765033,-8.028925,10.689195,15.528496
107,21.370295,7.400887,0.237004,-0.199041,2.836806,-1.471890,-8.290538,10.654864,15.528496
108,21.570018,7.475674,0.196184,-0.201643,2.609103,-1.179249,-8.565060,10.676927,15.528496
109,21.769740,7.543832,0.155492,-0.196071,2.374838,-0.887222,-8.861079,10.762797,15.528496
110,21.969462,7.604865,0.116433,-0.187355,2.134999,-0.595910,-9.147786,10.872401,15.528496
111,22.169185,7.658647,0.079143,-0.181180,1.890569,-0.305398,-9.380376,10.952081,15.528496
112,22.368907,7.705363,0.042790,-0.179273,1.642504,-0.015769,-9.546605,10.988707,15.528496
113,22.568629,7.745216,0.006431,-0.181811,1.391723,0.272894,-9.646890,10.983899,15.528496
114,22.768352,7.778352,-0.030845,-0.187165,1.139119,0.560508,-9.698334,10.957772,15.528496
115,22.968074,7.804818,-0.069243,-0.191706,0.885569,0.846984,-9.720941,10.932960,15.528496
116,23.167797,7.824614,-0.108302,-0.193110,0.631943,1.132232,-9.730842,10.927278,15.528496
117,23.367519,7.837750,-0.147086,-0.189365,0.379100,1.416163,-9.717118,10.928061,15.528496
118,23.567241,7.844303,-0.184488,-0.181383,0.127885,1.698684,-9.640243,10.890392,15.528496
119,23.766964,7.844394,-0.220148,-0.173025,-0.120870,1.979698,-9.503014,10.816577,15.528496
120,23.966686,7.838101,-0.254283,-0.165759,-0.366338,2.259096,-9.338907,10.743830,15.528496
121,24.166409,7.825515,-0.286937,-0.158017,-0.607692,2.536759,-9.162971,10.688986,15.528496
122,24.366131,7.806785,-0.317719,-0.147899,-0.844121,2.812563,-8.963552,10.638195,15.528496
123,24.565853,7.782089,-0.346037,-0.134861,-1.074833,3.086378,-8.702850,10.545598,15.528496
124,24.765576,7.751510,-0.371527,-0.120686,-1.299041,3.358060,-8.362636,10.386307,15.528496
125,24.965298,7.715005,-0.394357,-0.107802,-1.515937,3.627444,-7.983061,10.206630,15.528496
126,25.165020,7.672635,-0.414828,-0.096086,-1.724690,3.894342,-7.599234,10.050027,15.528496
127,25.364743,7.624668,-0.432898,-0.083552,-1.924469,4.158551,-7.205186,9.909130,15.528496
128,25.564465,7.571414,-0.448190,-0.068812,-2.114470,4.419854,-6.777644,9.751569,15.528496
129,25.764188,7.513060,-0.460270,-0.051956,-2.293903,4.678020,-6.305100,9.557801,15.528496
130,25.963910,7.449674,-0.468834,-0.033807,-2.461971,4.932791,-5.793992,9.332819,15.528496
131,26.163632,7.381342,-0.473701,-0.014878,-2.617849,5.183876,-5.256722,9.092086,15.528496
132,26.363355,7.308261,-0.474706,0.005021,-2.760701,5.430953,-4.701665,8.845622,15.528496
133,26.563077,7.230753,-0.471587,0.026624,-2.889689,5.673629,-4.121475,8.571203,15.528496
134,26.762800,7.149033,-0.463973,0.049990,-3.003983,5.911320,-3.495912,8.216230,15.528496
135,26.962522,7.062813,-0.451621,0.072719,-3.102700,6.143329,-2.827272,7.763520,15.528496
136,27.162244,6.971491,-0.434850,0.090863,-3.184828,6.368849,-2.147976,7.273311,15.528496
137,27.361967,6.875024,-0.414685,0.102649,-3.249238,6.586948,-1.479063,6.805341,15.528496
138,27.561689,6.774231,-0.392344,0.109739,-3.294800,6.796584,-0.818372,6.368326,15.528496
139,27.761411,6.670319,-0.368630,0.115350,-3.320510,6.996649,-0.157306,5.939696,15.528496
140,27.961134,6.564391,-0.343676,0.122180,-3.325524,7.185989,0.507468,5.489550,15.528496
141,28.160856,6.457189,-0.317138,0.131072,-3.309125,7.363388,1.172380,5.003905,15.528496
142,28.360579,6.349269,-0.288616,0.141573,-3.270667,7.527534,1.834515,4.488729,15.528496
143,28.560301,6.241376,-0.257800,0.153921,-3.209579,7.677004,2.490686,3.942888,15.528496
144,28.760023,6.134323,-0.224271,0.168462,-3.125400,7.810264,3.134448,3.361269,15.528496
145,28.959746,6.028862,-0.187625,0.184600,-3.017781,7.925670,3.761300,2.749708,15.528496
146,29.159468,5.925889,-0.147593,0.202092,-2.886587,8.021581,3.981993,2.729649,15.528496
147,29.359191,5.826160,-0.103911,0.221233,-2.745567,8.118249,4.154651,2.750780,15.528496
148,29.558913,5.730142,-0.056289,0.241528,-2.596208,8.217139,4.357504,2.680564,15.528496
149,29.758635,5.638368,-0.004725,0.260980,-2.437312,8.314886,4.599179,2.510576,15.528496
150,29.958358,5.551610,0.050267,0.278297,-2.267698,8.407474,4.844816,2.306188,15.528496
151,30.158080,5.470711,0.108021,0.293340,-2.087720,8.493145,5.056309,2.147521,15.528496
152,30.357802,5.396449,0.167789,0.305816,-1.899365,8.573144,5.254238,2.033039,15.528496
153,30.557525,5.329642,0.228454,0.313088,-1.704568,8.648517,5.507110,1.912353,15.528496
154,30.757247,5.271329,0.287654,0.309294,-1.504420,8.718019,5.863059,1.729631,15.528496
155,30.956970,5.222319,0.342043,0.289892,-1.299453,8.778485,6.313466,1.454426,15.528496
156,31.156692,5.182734,0.388574,0.253774,-1.090293,8.826669,6.803156,1.128554,15.528496
157,31.356414,5.152057,0.425184,0.201939,-0.878264,8.861842,7.166995,1.140951,15.528496
158,31.556137,5.129297,0.450935,0.137706,-0.667155,8.895450,7.355662,1.489983,15.528496
159,31.755859,5.113385,0.465698,0.065300,-0.459359,8.937541,7.447180,1.502174,15.528496
160,31.955582,5.103540,0.469521,-0.011714,-0.253733,8.979018,7.389356,0.912386,15.528496
161,32.155304,5.099348,0.462382,-0.088962,-0.049323,9.004257,7.098544,0.057902,15.528496
162,32.355026,5.100834,0.444134,-0.160232,0.153376,9.005911,6.606360,-0.844865,15.528496
163,32.554749,5.108452,0.414843,-0.220475,0.352396,8.980459,6.136181,-0.994062,15.528496
164,32.754471,5.122841,0.375090,-0.268606,0.548424,8.948702,5.691320,-1.125632,15.528496
165,32.954193,5.144576,0.325876,-0.305923,0.740380,8.910737,5.284614,-1.187700,15.528496
166,33.153916,5.174070,0.268334,-0.334076,0.927308,8.868726,4.899133,-1.214552,15.528496
167,33.353638,5.211604,0.203645,-0.353412,1.108001,8.823930,4.518935,-1.220436,15.528496
168,33.553361,5.257354,0.133433,-0.359321,1.281071,8.777188,4.178658,-1.220831,15.528496
169,33.753083,5.310862,0.061417,-0.346690,1.445106,8.729264,3.908144,-1.215256,15.528496
170,33.952805,5.370799,-0.007488,-0.319313,1.599004,8.681409,3.653007,-1.241019,15.528496
171,34.152528,5.435876,-0.070340,-0.287140,1.741341,8.633053,3.351300,-1.313817,15.528496
172,34.352250,5.505440,-0.127020,-0.258754,1.870435,8.582444,2.991458,-1.417485,15.528496
173,34.551973,5.579147,-0.178899,-0.236985,1.984820,8.528244,2.601250,-1.534547,15.528496
174,34.751695,5.656314,-0.226995,-0.218372,2.083500,8.470030,2.251230,-1.551108,15.528496
175,34.951417,5.735872,-0.271149,-0.198396,2.167759,8.411975,2.024801,-1.284245,15.528496
176,35.151140,5.817056,-0.310801,-0.176569,2.242307,8.364692,1.904448,-0.774276,15.528496
177,35.350862,5.899532,-0.345736,-0.154115,2.311295,8.336644,1.791436,-0.238923,15.528496
178,35.550584,5.983003,-0.375834,-0.131186,2.375111,8.328133,1.521023,0.000236,15.528496
179,35.750307,6.067182,-0.401046,-0.108273,2.428420,8.328141,1.138955,0.041527,15.528496
180,35.950029,6.151839,-0.421573,-0.086729,2.467806,8.329577,0.718266,0.017465,15.528496
181,36.149752,6.236652,-0.437841,-0.067417,2.492369,8.330175,0.190946,-0.210070,15.528496
