%time,field.header.seq,field.header.stamp,field.header.frame_id,field.need_vel_planner,field.state
5984951000000,206879,5984951000000,,0,TRAILING
5984951000000,206880,5984951000000,,0,TRAILING
5984968000000,206881,5984968000000,,0,TRAILING
5984968000000,206882,5984968000000,,0,TRAILING
5984985000000,206883,5984985000000,,0,TRAILING
5985002000000,206884,5985002000000,,0,TRAILING
5985019000000,206885,5985019000000,,0,TRAILING
5985019000000,206886,5985019000000,,0,TRAILING
5985036000000,206887,5985036000000,,0,TRAILING
5985058000000,206888,5985058000000,,0,TRAILING
5985058000000,206889,5985058000000,,0,TRAILING
5985093000000,206890,5985076000000,,0,TRAILING
5985093000000,206891,5985093000000,,0,TRAILING
5985093000000,206892,5985093000000,,0,TRAILING
5985127000000,206893,5985127000000,,0,TRAILING
5985144000000,206894,5985127000000,,0,TRAILING
5985144000000,206895,5985144000000,,0,TRAILING
5985144000000,206896,5985144000000,,0,TRAILING
5985161000000,206897,5985161000000,,0,TRAILING
5985195000000,206898,5985195000000,,0,TRAILING
5985195000000,206899,5985195000000,,0,TRAILING
5985246000000,206900,5985195000000,,0,TRAILING
5985246000000,206901,5985229000000,,0,TRAILING
5985246000000,206902,5985229000000,,0,TRAILING
5985246000000,206903,5985246000000,,0,TRAILING
5985246000000,206904,5985246000000,,0,TRAILING
5985263000000,206905,5985263000000,,0,TRAILING
5985280000000,206906,5985280000000,,0,TRAILING
5985280000000,206907,5985280000000,,0,TRAILING
5985331000000,206908,5985297000000,,0,TRAILING
5985331000000,206909,5985331000000,,0,TRAILING
5985331000000,206910,5985331000000,,0,TRAILING
5985331000000,206911,5985331000000,,0,TRAILING
5985348000000,206912,5985348000000,,0,TRAILING
5985365000000,206913,5985365000000,,0,TRAILING
5985382000000,206914,5985382000000,,0,TRAILING
5985416000000,206915,5985382000000,,0,TRAILING
5985416000000,206916,5985399000000,,0,TRAILING
5985416000000,206917,5985416000000,,0,TRAILING
5985416000000,206918,5985416000000,,0,TRAILING
5985433000000,206919,5985433000000,,0,TRAILING
5985450000000,206920,5985450000000,,0,TRAILING
5985467000000,206921,5985467000000,,0,TRAILING
5985467000000,206922,5985467000000,,0,TRAILING
5985501000000,206923,5985501000000,,0,TRAILING
5985501000000,206924,5985501000000,,0,TRAILING
5985518000000,206925,5985518000000,,0,TRAILING
5985518000000,206926,5985518000000,,0,TRAILING
5985552000000,206927,5985535000000,,0,TRAILING
5985552000000,206928,5985552000000,,0,TRAILING
5985569000000,206929,5985569000000,,0,TRAILING
5985569000000,206930,5985569000000,,0,TRAILING
5985603000000,206931,5985586000000,,0,TRAILING
5985603000000,206932,5985603000000,,0,TRAILING
5985637000000,206933,5985637000000,,0,TRAILING
5985637000000,206934,5985637000000,,0,TRAILING
5985637000000,206935,5985637000000,,0,TRAILING
5985654000000,206936,5985654000000,,0,TRAILING
5985654000000,206937,5985654000000,,0,TRAILING
5985671000000,206938,5985671000000,,0,TRAILING
5985688000000,206939,5985688000000,,0,TRAILING
5985722000000,206940,5985722000000,,0,TRAILING
5985739000000,206941,5985739000000,,0,TRAILING
5985739000000,206942,5985739000000,,0,TRAILING
5985756000000,206943,5985739000000,,0,TRAILING
5985756000000,206944,5985756000000,,0,TRAILING
5985756000000,206945,5985756000000,,0,TRAILING
5985790000000,206946,5985790000000,,0,TRAILING
5985790000000,206947,5985790000000,,0,TRAILING
5985824000000,206948,5985807000000,,0,TRAILING
5985824000000,206949,5985807000000,,0,TRAILING
5985824000000,206950,5985824000000,,0,TRAILING
5985841000000,206951,5985841000000,,0,TRAILING
5985841000000,206952,5985841000000,,0,TRAILING
